,지번코드 위치,20세~49세
0,강정동,4456.84
1,건입동,10079.869999999999
2,구좌읍,6474.02
3,남원읍,10540.830000000002
4,내도동,633.39
5,노형동,60778.97
6,대정읍,6976.389999999999
7,대포동,1116.17
8,도남동,13816.04
9,도두이동,1033.6999999999998
10,도두일동,2868.58
11,도련이동,592.49
12,도련일동,1172.6799999999998
13,도순동,833.71
14,도평동,776.97
15,동홍동,13329.32
16,법환동,3413.19
17,보목동,872.22
18,봉개동,2917.52
19,삼도이동,8642.0
20,삼도일동,10510.06
21,삼양삼동,180.51
22,삼양이동,2763.69
23,삼양일동,1408.3200000000002
24,상예동,1132.07
25,상효동,1348.09
26,색달동,3713.87
27,서귀동,15120.769999999999
28,서호동,1396.46
29,서홍동,6671.889999999999
30,성산읍,7420.84
31,신효동,1055.51
32,아라이동,4911.780000000001
33,아라일동,15888.84
34,안덕면,8378.24
35,애월읍,25395.54
36,연동,64986.020000000004
37,영남동,391.55
38,영평동,2684.5299999999997
39,오등동,3260.1400000000003
40,오라삼동,1912.0700000000002
41,오라이동,5734.82
42,오라일동,2578.71
43,외도이동,571.0699999999999
44,외도일동,6289.83
45,용강동,1086.32
46,용담삼동,2615.2
47,용담이동,10516.79
48,용담일동,5777.61
49,우도면,566.8799999999999
50,월평동,1439.13
51,이도이동,35389.07
52,이도일동,11809.800000000001
53,이호이동,1251.8899999999999
54,이호일동,587.98
55,일도이동,16765.839999999997
56,일도일동,4667.67
57,조천읍,15134.91
58,중문동,3966.0200000000004
59,추자면,275.52
60,토평동,4030.24
61,표선면,6484.9
62,하예동,335.62
63,하원동,2426.2799999999997
64,하효동,1122.4699999999998
65,한경면,4138.99
66,한림읍,10488.439999999999
67,해안동,2527.0600000000004
68,호근동,1243.08
69,화북이동,2758.06
70,화북일동,12267.42
71,회수동,371.32000000000005
72,회천동,766.3
