"자전거대여소명",자전거대여소구분,소재지도로명주소,소재지지번주소,위도,경도,운영시작시각,운영종료시각,휴무일,요금구분,자전거이용요금,자전거보유대수,거치대수,공기주입기비치여부,공기주입기유형,수리대설치여부,관리기관전화번호,관리기관명,데이터기준일자
"삼도1동 오라지구대 뒤",무인대여소,,제주특별자치도 제주시 삼도이동 560-2,33.49915844,126.5161719,06:00,21:00,연중무휴,무료,무료,3,,Y,수동식,N,064-728-3554,제주특별자치도 제주시청,2023-04-12
"노형동 탐라도서관 주차장 내",무인대여소,,제주특별자치도 제주시 노형동 3812-2,33.47779743,126.4767007,06:00,21:00,연중무휴,무료,무료,3,,Y,수동식,N,064-728-3554,제주특별자치도 제주시청,2023-04-12
"연동 대림아파트 동측 주차장내",무인대여소,,제주특별자치도 제주시 연동 1499,33.47867251,126.490582,06:00,21:00,연중무휴,무료,무료,3,,Y,수동식,N,064-728-3554,제주특별자치도 제주시청,2023-04-12
"오라2동 제주아트센터 주차장 내",무인대여소,제주특별자치도 제주시 오남로 231,제주특별자치도 제주시 오라이동 898-8,33.4751044,126.5155186,06:00,21:00,연중무휴,무료,무료,3,,Y,수동식,N,064-728-3554,제주특별자치도 제주시청,2023-04-12
"연동 설문대여성문화센터 주차장내",무인대여소,제주특별자치도 제주시 선덕로8길 12,제주특별자치도 제주시 연동 324-10,33.48439696,126.5003713,06:00,21:00,연중무휴,무료,무료,3,,Y,수동식,N,064-728-3554,제주특별자치도 제주시청,2023-04-12
"연동 로얄쇼핑센터 앞 주차장내",무인대여소,제주특별자치도 제주시 신대로12길 54,제주특별자치도 제주시 연동 272-56,33.4889361,126.4908883,06:00,21:00,연중무휴,무료,무료,3,,Y,수동식,N,064-728-3554,제주특별자치도 제주시청,2023-04-12
"연동 롯데시티호텔 뒤 주차장내",무인대여소,,제주특별자치도 제주시 연동 2322-7,33.49105883,126.4860417,06:00,21:00,연중무휴,무료,무료,3,,Y,수동식,N,064-728-3554,제주특별자치도 제주시청,2023-04-12
"이도2동 벤처마루 앞",무인대여소,,제주특별자치도 제주시 이도이동 1176-126,33.50016657,126.5296602,06:00,21:00,연중무휴,무료,무료,3,,Y,수동식,N,064-728-3554,제주특별자치도 제주시청,2023-04-12
"일도2동 영락교회 앞",무인대여소,,제주특별자치도 제주시 일도이동 488-9,33.51074642,126.543517,06:00,21:00,연중무휴,무료,무료,3,,Y,수동식,N,064-728-3554,제주특별자치도 제주시청,2023-04-12
"삼도2동 탑동해변공연장",무인대여소,제주특별자치도 제주시 중앙로 2,제주특별자치도 제주시 삼도이동 1262,33.51814824,126.5239547,06:00,21:00,연중무휴,무료,무료,3,,Y,수동식,N,064-728-3554,제주특별자치도 제주시청,2023-04-12
"건입동 국민체육센터 앞",무인대여소,제주특별자치도 제주시 사라봉동길 21-1,제주특별자치도 제주시 건입동 538,33.5137924,126.5465109,06:00,21:00,연중무휴,무료,무료,3,,Y,수동식,N,064-728-3554,제주특별자치도 제주시청,2023-04-12
