,행정구역별,나이대별,총이동
0,강남구,0,9441
1,강남구,10,14816
2,강남구,20,33089
3,강남구,30,33711
4,강남구,40,25961
5,강남구,50,17692
6,강남구,60,10353
7,강남구,70,4787
8,강남구,80,1959
9,강남구,90,316
10,강동구,0,8154
11,강동구,10,7605
12,강동구,20,23535
13,강동구,30,25640
14,강동구,40,17035
15,강동구,50,13278
16,강동구,60,10641
17,강동구,70,4232
18,강동구,80,1860
19,강동구,90,366
20,강북구,0,3164
21,강북구,10,3993
22,강북구,20,17150
23,강북구,30,12612
24,강북구,40,8978
25,강북구,50,8662
26,강북구,60,6548
27,강북구,70,2886
28,강북구,80,1327
29,강북구,90,276
30,강서구,0,8025
31,강서구,10,7164
32,강서구,20,39466
33,강서구,30,38510
34,강서구,40,18787
35,강서구,50,14003
36,강서구,60,10979
37,강서구,70,4541
38,강서구,80,2005
39,강서구,90,406
40,관악구,0,4750
41,관악구,10,6777
42,관악구,20,76293
43,관악구,30,40069
44,관악구,40,14932
45,관악구,50,13064
46,관악구,60,9186
47,관악구,70,3952
48,관악구,80,1662
49,관악구,90,272
50,광진구,0,4398
51,광진구,10,5320
52,광진구,20,30602
53,광진구,30,20988
54,광진구,40,11256
55,광진구,50,9913
56,광진구,60,6814
57,광진구,70,2564
58,광진구,80,1124
59,광진구,90,191
60,구로구,0,5570
61,구로구,10,4459
62,구로구,20,22889
63,구로구,30,23013
64,구로구,40,11772
65,구로구,50,9839
66,구로구,60,7743
67,구로구,70,3239
68,구로구,80,1455
69,구로구,90,240
70,금천구,0,2775
71,금천구,10,2584
72,금천구,20,19116
73,금천구,30,14935
74,금천구,40,6884
75,금천구,50,6400
76,금천구,60,4918
77,금천구,70,1827
78,금천구,80,897
79,금천구,90,176
80,노원구,0,6480
81,노원구,10,9513
82,노원구,20,25254
83,노원구,30,19997
84,노원구,40,14405
85,노원구,50,12609
86,노원구,60,7978
87,노원구,70,3480
88,노원구,80,1952
89,노원구,90,411
90,도봉구,0,3382
91,도봉구,10,3999
92,도봉구,20,13581
93,도봉구,30,12381
94,도봉구,40,8666
95,도봉구,50,8305
96,도봉구,60,6476
97,도봉구,70,2680
98,도봉구,80,1404
99,도봉구,90,264
100,동대문구,0,4814
101,동대문구,10,5694
102,동대문구,20,28573
103,동대문구,30,18011
104,동대문구,40,10608
105,동대문구,50,9161
106,동대문구,60,6602
107,동대문구,70,2851
108,동대문구,80,1349
109,동대문구,90,226
110,동작구,0,5429
111,동작구,10,6595
112,동작구,20,35610
113,동작구,30,24637
114,동작구,40,13161
115,동작구,50,10940
116,동작구,60,8206
117,동작구,70,3532
118,동작구,80,1591
119,동작구,90,249
120,마포구,0,5463
121,마포구,10,5818
122,마포구,20,31508
123,마포구,30,25499
124,마포구,40,13062
125,마포구,50,9971
126,마포구,60,6347
127,마포구,70,2542
128,마포구,80,1396
129,마포구,90,274
130,서대문구,0,5347
131,서대문구,10,5707
132,서대문구,20,24682
133,서대문구,30,17404
134,서대문구,40,10475
135,서대문구,50,9115
136,서대문구,60,6226
137,서대문구,70,2722
138,서대문구,80,1443
139,서대문구,90,255
140,서초구,0,7564
141,서초구,10,9568
142,서초구,20,21525
143,서초구,30,23698
144,서초구,40,17464
145,서초구,50,13310
146,서초구,60,9036
147,서초구,70,4017
148,서초구,80,1713
149,서초구,90,317
150,성동구,0,4524
151,성동구,10,4272
152,성동구,20,20093
153,성동구,30,16967
154,성동구,40,9440
155,성동구,50,7934
156,성동구,60,5582
157,성동구,70,2197
158,성동구,80,1087
159,성동구,90,190
160,성북구,0,6774
161,성북구,10,8501
162,성북구,20,29002
163,성북구,30,20269
164,성북구,40,13960
165,성북구,50,11454
166,성북구,60,7917
167,성북구,70,3585
168,성북구,80,1691
169,성북구,90,326
170,송파구,0,12387
171,송파구,10,12217
172,송파구,20,37313
173,송파구,30,42703
174,송파구,40,26033
175,송파구,50,20062
176,송파구,60,14870
177,송파구,70,5845
178,송파구,80,2436
179,송파구,90,518
180,양천구,0,6887
181,양천구,10,8973
182,양천구,20,18341
183,양천구,30,18952
184,양천구,40,15443
185,양천구,50,11964
186,양천구,60,8096
187,양천구,70,3393
188,양천구,80,1481
189,양천구,90,292
190,영등포구,0,6275
191,영등포구,10,5317
192,영등포구,20,30464
193,영등포구,30,29170
194,영등포구,40,12995
195,영등포구,50,10769
196,영등포구,60,7826
197,영등포구,70,3203
198,영등포구,80,1370
199,영등포구,90,219
200,용산구,0,3683
201,용산구,10,3929
202,용산구,20,15319
203,용산구,30,15498
204,용산구,40,8876
205,용산구,50,7624
206,용산구,60,5150
207,용산구,70,2064
208,용산구,80,1036
209,용산구,90,187
210,은평구,0,6666
211,은평구,10,7411
212,은평구,20,26792
213,은평구,30,24926
214,은평구,40,15765
215,은평구,50,14535
216,은평구,60,11141
217,은평구,70,5337
218,은평구,80,2532
219,은평구,90,383
220,종로구,0,1908
221,종로구,10,3101
222,종로구,20,11208
223,종로구,30,7899
224,종로구,40,5346
225,종로구,50,4704
226,종로구,60,3287
227,종로구,70,1408
228,종로구,80,689
229,종로구,90,128
230,중구,0,1651
231,중구,10,1801
232,중구,20,9409
233,중구,30,8236
234,중구,40,4427
235,중구,50,3880
236,중구,60,3045
237,중구,70,1139
238,중구,80,514
239,중구,90,99
240,중랑구,0,5425
241,중랑구,10,4606
242,중랑구,20,21869
243,중랑구,30,21235
244,중랑구,40,11788
245,중랑구,50,11270
246,중랑구,60,9012
247,중랑구,70,3375
248,중랑구,80,1623
249,중랑구,90,312
