연월,가입자수
2018-07,65412
2018-08,57246
2018-09,114906
2018-10,78120
2018-11,30421
2018-12,11845
2019-01,13157
2019-02,19078
2019-03,43915
2019-04,91019
2019-05,137488
2019-06,110793
2019-07,79457
2019-08,81975
2019-09,91842
2019-10,84079
2019-11,36497
2019-12,15614
2020-01,15397
2020-02,21169
2020-03,99984
2020-04,131336
2020-05,126620
2020-06,100938
2020-07,91794
2020-08,42636
2020-09,103188
2020-10,83134
2020-11,33463
2020-12,19965
2021-01,15048
2021-02,43696
2021-03,55111
2021-04,19288
2021-05,9428
2021-06,7500
2021-07,55698
2021-08,19511
2021-09,80997
2021-10,53719
2021-11,35663
2021-12,15378
2022-01,15048
2022-02,43696
2022-03,55111
2022-04,19288
2022-05,9428
2022-06,7500
